Make,Type,Model,Origin,Drive Train,MSRP,Engine Size,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Acura,SUV,MDX,Asia,All,$36945,3.5,6.0,265,17,23,4451.0,106.0,189.0
Acura,Sedan,RSX Type S 2dr,Asia,Front,$23820,2.0,4.0,200,24,31,2778.0,101.0,172.0
Acura,Sedan,TSX 4dr,Asia,Front,$26990,2.4,4.0,200,22,29,3230.0,105.0,183.0
Acura,Sedan,TL 4dr,Asia,Front,$33195,3.2,6.0,270,20,28,3575.0,108.0,186.0
Acura,Sedan,3.5 RL 4dr,Asia,Front,$43755,3.5,6.0,225,18,24,3880.0,115.0,197.0
Acura,Sedan,3.5 RL w/Navigation 4dr,Asia,Front,$46100,3.5,6.0,225,18,24,3893.0,115.0,197.0
Acura,Sports,NSX coupe 2dr manual S,Asia,Rear,$89765,3.2,6.0,290,17,24,3153.0,100.0,174.0
Audi,Sedan,A4 1.8T 4dr,Europe,Front,$25940,1.8,4.0,170,22,31,3252.0,104.0,179.0
Audi,Sedan,A41.8T convertible 2dr,Europe,Front,$35940,1.8,4.0,170,23,30,3638.0,105.0,180.0
Audi,Sedan,A4 3.0 4dr,Europe,Front,$31840,3.0,6.0,220,20,28,3462.0,104.0,179.0
Audi,Sedan,A4 3.0 Quattro 4dr manual,Europe,All,$33430,3.0,6.0,220,17,26,3583.0,104.0,179.0
Audi,Sedan,A4 3.0 Quattro 4dr auto,Europe,All,$34480,3.0,6.0,220,18,25,3627.0,104.0,179.0
Audi,Sedan,A6 3.0 4dr,Europe,Front,$36640,3.0,6.0,220,20,27,3561.0,109.0,192.0
Audi,Sedan,A6 3.0 Quattro 4dr,Europe,All,$39640,3.0,6.0,220,18,25,3880.0,109.0,192.0
Audi,Sedan,A4 3.0 convertible 2dr,Europe,Front,$42490,3.0,6.0,220,20,27,3814.0,105.0,180.0
Audi,Sedan,A4 3.0 Quattro convertible 2dr,Europe,All,$44240,3.0,6.0,220,18,25,4013.0,105.0,180.0
Audi,Sedan,A6 2.7 Turbo Quattro 4dr,Europe,All,$42840,2.7,6.0,250,18,25,3836.0,109.0,192.0
Audi,Sedan,A6 4.2 Quattro 4dr,Europe,All,$49690,4.2,8.0,300,17,24,4024.0,109.0,193.0
Audi,Sedan,A8 L Quattro 4dr,Europe,All,$69190,4.2,8.0,330,17,24,4399.0,121.0,204.0
Audi,Sedan,S4 Quattro 4dr,Europe,All,$48040,4.2,8.0,340,14,20,3825.0,,179.0
Audi,Sports,RS 6 4dr,Europe,Front,$84600,4.2,8.0,450,15,22,4024.0,109.0,191.0
Audi,Sports,TT 1.8 convertible 2dr (coupe),Europe,Front,$35940,1.8,4.0,180,20,28,3131.0,95.0,159.0
Audi,Sports,TT 1.8 Quattro 2dr (convertible),Europe,All,$37390,1.8,4.0,225,20,28,2921.0,96.0,159.0
Audi,Sports,TT 3.2 coupe 2dr (convertible),Europe,All,$40590,3.2,6.0,250,21,29,3351.0,96.0,159.0
Audi,Wagon,A6 3.0 Avant Quattro,Europe,All,$40840,3.0,6.0,220,18,25,4035.0,,192.0
Audi,Wagon,S4 Avant Quattro,Europe,All,$49090,4.2,8.0,340,15,21,3936.0,104.0,179.0
BMW,SUV,X3 3.0i,Europe,All,$37000,3.0,6.0,225,16,23,4023.0,110.0,180.0
BMW,SUV,X5 4.4i,Europe,All,$52195,4.4,8.0,325,16,22,4824.0,,184.0
BMW,Sedan,325i 4dr,Europe,Rear,$28495,2.5,6.0,184,20,29,3219.0,107.0,176.0
BMW,Sedan,325Ci 2dr,Europe,Rear,$30795,2.5,6.0,184,20,29,3197.0,107.0,177.0
BMW,Sedan,325Ci convertible 2dr,Europe,Rear,$37995,2.5,6.0,184,19,27,3560.0,107.0,177.0
BMW,Sedan,325xi 4dr,Europe,All,$30245,2.5,6.0,184,19,27,3461.0,107.0,176.0
BMW,Sedan,330i 4dr,Europe,Rear,$35495,3.0,6.0,225,20,30,3285.0,107.0,176.0
BMW,Sedan,330Ci 2dr,Europe,Rear,$36995,3.0,6.0,225,20,30,3285.0,107.0,176.0
BMW,Sedan,330xi 4dr,Europe,All,$37245,3.0,6.0,225,20,29,3483.0,,176.0
BMW,Sedan,525i 4dr,Europe,Rear,$39995,2.5,6.0,184,19,28,3428.0,114.0,191.0
BMW,Sedan,330Ci convertible 2dr,Europe,Rear,$44295,3.0,6.0,225,19,28,3616.0,107.0,177.0
BMW,Sedan,530i 4dr,Europe,Rear,$44995,3.0,6.0,225,20,30,3472.0,114.0,191.0
BMW,Sedan,545iA 4dr,Europe,Rear,$54995,4.4,8.0,325,18,26,3814.0,114.0,191.0
BMW,Sedan,745i 4dr,Europe,Rear,$69195,4.4,8.0,325,18,26,4376.0,118.0,198.0
BMW,Sedan,745Li 4dr,Europe,Rear,$73195,4.4,8.0,325,18,26,4464.0,123.0,204.0
BMW,Sports,M3 coupe 2dr,Europe,Rear,$48195,3.2,6.0,333,16,24,3415.0,108.0,177.0
BMW,Sports,M3 convertible 2dr,Europe,Rear,$56595,3.2,6.0,333,16,23,3781.0,108.0,177.0
BMW,Sports,Z4 convertible 2.5i 2dr,Europe,Rear,$33895,2.5,6.0,184,20,28,2932.0,,161.0
BMW,Sports,Z4 convertible 3.0i 2dr,Europe,Rear,$41045,3.0,6.0,225,21,29,2998.0,98.0,161.0
BMW,Wagon,325xi Sport,Europe,All,$32845,2.5,6.0,184,19,26,3594.0,107.0,176.0
Buick,SUV,Rainier,USA,All,$37895,4.2,6.0,275,15,21,4600.0,113.0,193.0
Buick,SUV,Rendezvous CX,USA,Front,$26545,3.4,6.0,185,19,26,4024.0,112.0,187.0
Buick,Sedan,Century Custom 4dr,USA,Front,$22180,3.1,6.0,175,20,30,3353.0,109.0,195.0
Buick,Sedan,LeSabre Custom 4dr,USA,Front,$26470,3.8,6.0,205,20,29,3567.0,112.0,200.0
Buick,Sedan,Regal LS 4dr,USA,Front,$24895,3.8,6.0,200,20,30,3461.0,109.0,196.0
Buick,Sedan,Regal GS 4dr,USA,Front,$28345,3.8,6.0,240,18,28,3536.0,,196.0
Buick,Sedan,LeSabre Limited 4dr,USA,Front,$32245,3.8,6.0,205,20,29,3591.0,112.0,200.0
Buick,Sedan,Park Avenue 4dr,USA,Front,$35545,3.8,6.0,205,20,29,3778.0,114.0,207.0
Buick,Sedan,Park Avenue Ultra 4dr,USA,Front,$40720,3.8,6.0,240,18,28,3909.0,114.0,207.0
Cadillac,SUV,Escalade,USA,Front,$52795,5.3,8.0,295,14,18,5367.0,116.0,199.0
Cadillac,SUV,SRX V8,USA,Front,$46995,4.6,8.0,320,16,21,4302.0,116.0,195.0
Cadillac,Sedan,CTS VVT 4dr,USA,Rear,$30835,3.6,6.0,255,18,25,3694.0,113.0,190.0
Cadillac,Sedan,Deville 4dr,USA,Front,$45445,4.6,8.0,275,18,26,3984.0,115.0,207.0
Cadillac,Sedan,Deville DTS 4dr,USA,Front,$50595,4.6,8.0,300,18,26,4044.0,115.0,207.0
Cadillac,Sedan,Seville SLS 4dr,USA,Front,$47955,4.6,8.0,275,18,26,3992.0,112.0,201.0
Cadillac,Sports,XLR convertible 2dr,USA,Rear,$76200,4.6,8.0,320,17,25,3647.0,106.0,178.0
Cadillac,Truck,Escalade EXT,USA,All,$52975,6.0,8.0,345,13,17,5879.0,130.0,221.0
Chevrolet,SUV,Suburban 1500 LT,USA,Front,$42735,5.3,8.0,295,14,18,4947.0,130.0,219.0
Chevrolet,SUV,Tahoe LT,USA,All,$41465,5.3,8.0,295,14,18,5050.0,116.0,197.0
Chevrolet,SUV,TrailBlazer LT,USA,Front,$30295,4.2,6.0,275,16,21,4425.0,113.0,192.0
Chevrolet,SUV,Tracker,USA,Front,$20255,2.5,6.0,165,19,22,2866.0,,163.0
Chevrolet,Sedan,Aveo 4dr,USA,Front,$11690,1.6,4.0,103,28,34,2370.0,98.0,167.0
Chevrolet,Sedan,Aveo LS 4dr hatch,USA,Front,$12585,1.6,4.0,103,28,34,2348.0,98.0,153.0
Chevrolet,Sedan,Cavalier 2dr,USA,Front,$14610,2.2,4.0,140,26,37,2617.0,104.0,183.0
Chevrolet,Sedan,Cavalier 4dr,USA,Front,$14810,2.2,4.0,140,26,37,,104.0,
Chevrolet,Sedan,Cavalier LS 2dr,USA,Front,$16385,2.2,4.0,140,26,37,2617.0,104.0,183.0
Chevrolet,Sedan,Impala 4dr,USA,Front,$21900,3.4,6.0,180,21,32,3465.0,111.0,200.0
Chevrolet,Sedan,Malibu 4dr,USA,Front,$18995,2.2,4.0,145,24,34,3174.0,106.0,188.0
Chevrolet,Sedan,Malibu LS 4dr,USA,Front,$20370,3.5,6.0,200,22,30,3297.0,,188.0
Chevrolet,Sedan,Monte Carlo LS 2dr,USA,Front,$21825,3.4,6.0,180,21,32,3340.0,,198.0
Chevrolet,Sedan,Impala LS 4dr,USA,Front,$25000,3.8,6.0,200,20,30,3476.0,111.0,200.0
Chevrolet,Sedan,Impala SS 4dr,USA,Front,$27995,3.8,6.0,240,18,28,3606.0,111.0,200.0
Chevrolet,Sedan,Malibu LT 4dr,USA,Front,$23495,3.5,6.0,200,23,32,3315.0,106.0,188.0
Chevrolet,Sedan,Monte Carlo SS 2dr,USA,Front,$24225,3.8,6.0,200,18,28,3434.0,111.0,198.0
Chevrolet,Sedan,Astro,USA,All,$26395,4.3,6.0,190,14,17,4605.0,111.0,190.0
Chevrolet,Sedan,Venture LS,USA,Front,$27020,3.4,6.0,185,19,26,3699.0,,187.0
Chevrolet,Sports,Corvette 2dr,USA,Rear,$44535,5.7,8.0,350,18,25,3246.0,105.0,180.0
Chevrolet,Sports,Corvette convertible 2dr,USA,Rear,$51535,5.7,8.0,350,18,25,3248.0,105.0,180.0
Chevrolet,Truck,Avalanche 1500,USA,All,$36100,5.3,8.0,295,14,18,5678.0,130.0,222.0
Chevrolet,Truck,Colorado Z85,USA,All,$18760,2.8,4.0,175,18,23,3623.0,111.0,192.0
Chevrolet,Truck,Silverado 1500 Regular Cab,USA,Rear,$20310,4.3,6.0,200,15,21,4142.0,119.0,206.0
Chevrolet,Truck,Silverado SS,USA,All,$40340,6.0,8.0,300,13,17,4804.0,144.0,238.0
Chevrolet,Truck,SSR,USA,Rear,$41995,5.3,8.0,300,16,19,4760.0,116.0,191.0
Chevrolet,Wagon,Malibu Maxx LS,USA,Front,$22225,3.5,6.0,200,22,30,3458.0,112.0,188.0
Chrysler,Sedan,PT Cruiser 4dr,USA,Front,$17985,2.4,4.0,150,22,29,3101.0,103.0,169.0
Chrysler,Sedan,PT Cruiser Limited 4dr,USA,Front,$22000,2.4,4.0,150,22,29,3105.0,103.0,169.0
Chrysler,Sedan,Sebring 4dr,USA,Front,$19090,2.4,4.0,150,22,30,3173.0,108.0,191.0
Chrysler,Sedan,Sebring Touring 4dr,USA,Front,$21840,2.7,6.0,200,21,28,,108.0,
Chrysler,Sedan,300M 4dr,USA,Front,$29865,3.5,6.0,250,18,27,3581.0,113.0,198.0
Chrysler,Sedan,Concorde LX 4dr,USA,Front,$24130,2.7,6.0,200,21,29,3479.0,113.0,208.0
Chrysler,Sedan,Concorde LXi 4dr,USA,Front,$26860,3.5,6.0,232,19,27,3548.0,113.0,208.0
Chrysler,Sedan,PT Cruiser GT 4dr,USA,Front,$25955,2.4,4.0,220,21,27,3217.0,103.0,169.0
Chrysler,Sedan,Sebring convertible 2dr,USA,Front,$25215,2.4,4.0,150,22,30,3357.0,,194.0
Chrysler,Sedan,300M Special Edition 4dr,USA,Front,$33295,3.5,6.0,255,18,27,3650.0,113.0,198.0
Chrysler,Sedan,Sebring Limited convertible 2dr,USA,Front,$30950,2.7,6.0,200,21,28,3448.0,106.0,194.0
Chrysler,Sedan,Town and Country LX,USA,Front,$27490,3.3,6.0,180,19,26,4068.0,119.0,201.0
Chrysler,Sedan,Town and Country Limited,USA,Front,$38380,3.8,6.0,215,18,25,4331.0,119.0,201.0
Chrysler,Sports,Crossfire 2dr,USA,Rear,$34495,3.2,6.0,215,17,25,3060.0,95.0,160.0
Chrysler,Wagon,Pacifica,USA,Rear,$31230,3.5,6.0,250,17,23,4675.0,116.0,199.0
Dodge,SUV,Durango SLT,USA,All,$32235,4.7,8.0,230,15,21,4987.0,119.0,201.0
Dodge,Sedan,Neon SE 4dr,USA,Front,$13670,2.0,4.0,132,29,36,2581.0,105.0,174.0
Dodge,Sedan,Neon SXT 4dr,USA,Front,$15040,2.0,4.0,132,29,36,2626.0,105.0,174.0
Dodge,Sedan,Intrepid SE 4dr,USA,Front,$22035,2.7,6.0,200,21,29,3469.0,113.0,204.0
Dodge,Sedan,Stratus SXT 4dr,USA,Front,$18820,2.4,4.0,150,21,28,3182.0,108.0,191.0
Dodge,Sedan,Stratus SE 4dr,USA,Front,$20220,2.4,4.0,150,21,28,3175.0,108.0,191.0
Dodge,Sedan,Intrepid ES 4dr,USA,Front,$24885,3.5,6.0,232,18,27,3487.0,113.0,204.0
Dodge,Sedan,Caravan SE,USA,Front,$21795,2.4,4.0,150,20,26,3862.0,113.0,189.0
Dodge,Sedan,Grand Caravan SXT,USA,All,$32660,3.8,6.0,215,18,25,4440.0,119.0,201.0
Dodge,Sports,Viper SRT-10 convertible 2dr,USA,Rear,$81795,8.3,10.0,500,12,20,3410.0,99.0,176.0
Dodge,Truck,Dakota Regular Cab,USA,Rear,$17630,3.7,6.0,210,16,22,3714.0,112.0,193.0
Dodge,Truck,Dakota Club Cab,USA,Rear,$20300,3.7,6.0,210,16,22,3829.0,131.0,219.0
Dodge,Truck,Ram 1500 Regular Cab ST,USA,Rear,$20215,3.7,6.0,215,16,21,4542.0,121.0,208.0
Ford,SUV,Excursion 6.8 XLT,USA,All,$41475,6.8,10.0,310,10,13,7190.0,137.0,227.0
Ford,SUV,Expedition 4.6 XLT,USA,Front,$34560,4.6,8.0,232,15,19,5000.0,119.0,206.0
Ford,SUV,Explorer XLT V6,USA,All,$29670,4.0,6.0,210,15,20,4463.0,114.0,190.0
Ford,SUV,Escape XLS,USA,All,$22515,3.0,6.0,201,18,23,3346.0,103.0,173.0
Ford,Sedan,Focus ZX3 2dr hatch,USA,Front,$13270,2.0,4.0,130,26,33,2612.0,103.0,168.0
Ford,Sedan,Focus LX 4dr,USA,Front,$13730,2.0,4.0,110,27,36,2606.0,103.0,168.0
Ford,Sedan,Focus SE 4dr,USA,Front,$15460,2.0,4.0,130,26,33,2606.0,103.0,168.0
Ford,Sedan,Focus ZX5 5dr,USA,Front,$15580,2.0,4.0,130,26,33,2691.0,103.0,168.0
Ford,Sedan,Focus SVT 2dr,USA,Front,$19135,2.0,4.0,170,21,28,2750.0,103.0,168.0
Ford,Sedan,Taurus LX 4dr,USA,Front,$20320,3.0,6.0,155,20,27,3306.0,109.0,198.0
Ford,Sedan,Taurus SES Duratec 4dr,USA,Front,$22735,3.0,6.0,201,19,26,3313.0,109.0,198.0
Ford,Sedan,Crown Victoria 4dr,USA,Rear,$24345,4.6,8.0,224,17,25,4057.0,115.0,212.0
Ford,Sedan,Crown Victoria LX 4dr,USA,Rear,$27370,4.6,8.0,224,17,25,4057.0,,212.0
Ford,Sedan,Crown Victoria LX Sport 4dr,USA,Rear,$30315,4.6,8.0,239,17,25,4057.0,115.0,212.0
Ford,Sedan,Freestar SE,USA,Front,$26930,3.9,6.0,193,17,23,4275.0,121.0,201.0
Ford,Sports,Mustang 2dr (convertible),USA,Rear,$18345,3.8,6.0,193,20,29,3290.0,101.0,183.0
Ford,Sports,Mustang GT Premium convertible 2dr,USA,Rear,$29380,4.6,8.0,260,17,25,3347.0,,183.0
Ford,Sports,Thunderbird Deluxe convert w/hardtop 2d,USA,Front,$37530,3.9,8.0,280,17,24,,107.0,
Ford,Truck,F-150 Regular Cab XL,USA,Rear,$22010,4.6,8.0,231,15,19,4788.0,126.0,211.0
Ford,Truck,F-150 Supercab Lariat,USA,All,$33540,5.4,8.0,300,14,18,5464.0,133.0,218.0
Ford,Truck,Ranger 2.3 XL Regular Cab,USA,Rear,$14385,2.3,4.0,143,24,29,3028.0,111.0,188.0
Ford,Wagon,Focus ZTW,USA,Front,$17475,2.0,4.0,130,26,33,2702.0,103.0,178.0
Ford,Wagon,Taurus SE,USA,Front,$22290,3.0,6.0,155,19,26,3497.0,109.0,198.0
GMC,SUV,Envoy XUV SLE,USA,Front,$31890,4.2,6.0,275,15,19,4945.0,129.0,208.0
GMC,SUV,Yukon 1500 SLE,USA,Front,$35725,4.8,8.0,285,16,19,5042.0,116.0,199.0
GMC,SUV,Yukon XL 2500 SLT,USA,All,$46265,6.0,8.0,325,13,17,6133.0,130.0,219.0
GMC,Sedan,Safari SLE,USA,Rear,$25640,4.3,6.0,190,16,20,4309.0,111.0,190.0
GMC,Truck,Canyon Z85 SL Regular Cab,USA,Rear,$16530,2.8,4.0,175,18,25,3351.0,111.0,192.0
GMC,Truck,Sierra Extended Cab 1500,USA,Rear,$25717,4.8,8.0,285,17,20,4548.0,144.0,230.0
GMC,Truck,Sierra HD 2500,USA,All,$29322,6.0,8.0,300,13,18,5440.0,133.0,222.0
GMC,Truck,Sonoma Crew Cab,USA,All,$25395,4.3,6.0,190,15,19,4083.0,123.0,208.0
Honda,Hybrid,Civic Hybrid 4dr manual (gas/electric),Asia,Front,$20140,1.4,4.0,93,46,51,2732.0,103.0,175.0
Honda,Hybrid,Insight 2dr (gas/electric),Asia,Front,$19110,2.0,3.0,73,60,66,1850.0,95.0,155.0
Honda,SUV,Pilot LX,Asia,All,$27560,3.5,6.0,240,17,22,4387.0,106.0,188.0
Honda,SUV,CR-V LX,Asia,All,$19860,2.4,4.0,160,21,25,3258.0,103.0,179.0
Honda,SUV,Element LX,Asia,All,$18690,2.4,4.0,160,21,24,3468.0,101.0,167.0
Honda,Sedan,Civic DX 2dr,Asia,Front,$13270,1.7,4.0,115,32,38,2432.0,103.0,175.0
Honda,Sedan,Civic HX 2dr,Asia,Front,$14170,1.7,4.0,117,36,44,2500.0,103.0,175.0
Honda,Sedan,Civic LX 4dr,Asia,Front,$15850,1.7,4.0,115,32,38,2513.0,103.0,175.0
Honda,Sedan,Accord LX 2dr,Asia,Front,$19860,2.4,4.0,160,26,34,2994.0,105.0,188.0
Honda,Sedan,Accord EX 2dr,Asia,Front,$22260,2.4,4.0,160,26,34,3047.0,105.0,188.0
Honda,Sedan,Civic EX 4dr,Asia,Front,$17750,1.7,4.0,127,32,37,2601.0,103.0,175.0
Honda,Sedan,Civic Si 2dr hatch,Asia,Front,$19490,2.0,4.0,160,26,30,2782.0,101.0,166.0
Honda,Sedan,Accord LX V6 4dr,Asia,Front,$23760,3.0,6.0,240,21,30,3349.0,108.0,190.0
Honda,Sedan,Accord EX V6 2dr,Asia,Front,$26960,3.0,6.0,240,21,30,3294.0,105.0,188.0
Honda,Sedan,Odyssey LX,Asia,Front,$24950,3.5,6.0,240,18,25,4310.0,118.0,201.0
Honda,Sedan,Odyssey EX,Asia,Front,$27450,3.5,6.0,240,18,25,4365.0,118.0,201.0
Honda,Sports,S2000 convertible 2dr,Asia,Rear,$33260,2.2,4.0,240,20,25,2835.0,95.0,162.0
Hummer,SUV,H2,USA,All,$49995,6.0,8.0,316,10,12,6400.0,123.0,190.0
Hyundai,SUV,Santa Fe GLS,Asia,Front,$21589,2.7,6.0,173,20,26,3549.0,103.0,177.0
Hyundai,Sedan,Accent 2dr hatch,Asia,Front,$10539,1.6,4.0,103,29,33,2255.0,96.0,167.0
Hyundai,Sedan,Accent GL 4dr,Asia,Front,$11839,1.6,4.0,103,29,33,2290.0,96.0,167.0
Hyundai,Sedan,Accent GT 2dr hatch,Asia,Front,$11939,1.6,4.0,103,29,33,2339.0,96.0,167.0
